,artist_id,name,artist_url
174,cookiee-kawaii,Cookiee Kawaii,/artists/cookiee-kawaii/
175,5843-grateful-dead,Grateful Dead,/artists/5843-grateful-dead/
176,1339-eminem,Eminem,/artists/1339-eminem/
177,546-the-beatles,The Beatles,/artists/546-the-beatles/
178,7602-prins-thomas,Prins Thomas,/artists/7602-prins-thomas/
179,4203-themselves,Themselves,/artists/4203-themselves/
180,4827-midlake,Midlake,/artists/4827-midlake/
181,2398-klimek,Klimek,/artists/2398-klimek/
182,29477-the-black-ryder,The Black Ryder,/artists/29477-the-black-ryder/
183,2422-mark-lanegan,Mark Lanegan,/artists/2422-mark-lanegan/
184,chynna,Chynna,/artists/chynna/
185,mach-hommy,Mach-Hommy,/artists/mach-hommy/
186,4371-tegan-and-sara,Tegan and Sara,/artists/4371-tegan-and-sara/
187,4424-unklesounds,UNKLEsounds,/artists/4424-unklesounds/
188,1286-early-day-miners,Early Day Miners,/artists/1286-early-day-miners/
189,4632-wildchild,Wildchild,/artists/4632-wildchild/
190,276-bad-religion,Bad Religion,/artists/276-bad-religion/
191,233-antony-and-the-johnsons,Antony and the Johnsons,/artists/233-antony-and-the-johnsons/
192,757-the-church,The Church,/artists/757-the-church/
193,29816-carol-kleyn,Carol Kleyn,/artists/29816-carol-kleyn/
194,4596-wilco,Wilco,/artists/4596-wilco/
195,5185-amy-winehouse,Amy Winehouse,/artists/5185-amy-winehouse/
196,19533-james-lavino,James Lavino,/artists/19533-james-lavino/
197,3474-paavoharju,Paavoharju,/artists/3474-paavoharju/
198,5676-she-him,She & Him,/artists/5676-she-him/
199,4520-vetiver,Vetiver,/artists/4520-vetiver/
200,651-califone,Califone,/artists/651-califone/
201,4404-u2,U2,/artists/4404-u2/
202,27272-susanna,Susanna,/artists/27272-susanna/
203,2788-mirah,Mirah,/artists/2788-mirah/
204,30915-jacco-gardner,Jacco Gardner,/artists/30915-jacco-gardner/
205,1972-home,Home,/artists/1972-home/
206,urf-curse,Surf Curse,/artists/surf-curse/
207,4000-supergrass,Supergrass,/artists/4000-supergrass/
208,4883-dj-quik,DJ Quik,/artists/4883-dj-quik/
209,1477-fennesz,Fennesz,/artists/1477-fennesz/
210,3091-jack-nitzsche,Jack Nitzsche,/artists/3091-jack-nitzsche/
211,27605-laura-gibson,Laura Gibson,/artists/27605-laura-gibson/
212,4050-sun-kil-moon,Sun Kil Moon,/artists/4050-sun-kil-moon/
213,1584-fugazi,Fugazi,/artists/1584-fugazi/
214,5356-grails,Grails,/artists/5356-grails/
215,1715-giddy-motors,Giddy Motors,/artists/1715-giddy-motors/
216,3102-namelessnumberheadman,namelessnumberheadman,/artists/3102-namelessnumberheadman/
217,5081-relay,Relay,/artists/5081-relay/
218,28303-royce-da-59,Royce 5'9'',/artists/28303-royce-da-59/
219,1875-halifax-pier,Halifax Pier,/artists/1875-halifax-pier/
220,5049-black-devil-disco-club,Black Devil Disco Club,/artists/5049-black-devil-disco-club/
221,ylabamba,Y La Bamba,/artists/ylabamba/
222,2985-magnet,Magnet,/artists/2985-magnet/
223,32392-music-blues,Music Blues,/artists/32392-music-blues/
224,34107-gaye-su-akyol,Gaye Su Akyol,/artists/34107-gaye-su-akyol/
225,30148-frankie-rose,Frankie Rose,/artists/30148-frankie-rose/
226,32924-fetty-wap,Fetty Wap,/artists/32924-fetty-wap/
227,1280-casey-dienel,Casey Dienel,/artists/1280-casey-dienel/
228,27679-fol-chen,Fol Chen,/artists/27679-fol-chen/
229,27670-doom,DOOM,/artists/27670-doom/
230,593-brazilian-girls,Brazilian Girls,/artists/593-brazilian-girls/
231,351-bonnie-prince-billy,Bonnie “Prince” Billy,/artists/351-bonnie-prince-billy/
232,31611-bitchin-bajas,Bitchin Bajas,/artists/31611-bitchin-bajas/
233,22861-intronaut,Intronaut,/artists/22861-intronaut/
234,363-bjork,Björk,/artists/363-bjork/
235,28965-minks,Minks,/artists/28965-minks/
236,30616-paws,PAWS,/artists/30616-paws/
237,900-john-chantler,John Chantler,/artists/900-john-chantler/
238,3061-tujiko-noriko,Tujiko Noriko,/artists/3061-tujiko-noriko/
239,10567-lawrence-english,Lawrence English,/artists/10567-lawrence-english/
240,2988-maximum-joy,Maximum Joy,/artists/2988-maximum-joy/
241,1566-friends-of-dean-martinez,Friends of Dean Martinez,/artists/1566-friends-of-dean-martinez/
242,33529-horse-jumper-of-love,Horse Jumper of Love,/artists/33529-horse-jumper-of-love/
243,29101-nightlands,Nightlands,/artists/29101-nightlands/
244,3384-prefuse-73,Prefuse 73,/artists/3384-prefuse-73/
245,om-misch,Tom Misch,/artists/tom-misch/
246,yussef-dayes,Yussef Dayes,/artists/yussef-dayes/
247,3554-steve-reich,Steve Reich,/artists/3554-steve-reich/
248,5709-eleanoora-rosenholm,Eleanoora Rosenholm,/artists/5709-eleanoora-rosenholm/
249,30120-django-django,Django Django,/artists/30120-django-django/
250,783-clue-to-kalo,Clue to Kalo,/artists/783-clue-to-kalo/
251,882-caesars,Caesars,/artists/882-caesars/
252,383-blackalicious,Blackalicious,/artists/383-blackalicious/
253,29239-luke-abbott,Luke Abbott,/artists/29239-luke-abbott/
254,4137-richard-swift,Richard Swift,/artists/4137-richard-swift/
255,4335-thick-pigeon,Thick Pigeon,/artists/4335-thick-pigeon/
256,1043-the-decemberists,The Decemberists,/artists/1043-the-decemberists/
257,4957-beach-house,Beach House,/artists/4957-beach-house/
258,32200-sage-the-gemini,Sage the Gemini,/artists/32200-sage-the-gemini/
259,4373-rachid-taha,Rachid Taha,/artists/4373-rachid-taha/
260,4593-why,WHY?,/artists/4593-why/
261,1969-holopaw,Holopaw,/artists/1969-holopaw/
262,27649-gucci-mane,Gucci Mane,/artists/27649-gucci-mane/
263,32232-white-reaper,White Reaper,/artists/32232-white-reaper/
264,1233-dj-rupture,DJ /rupture,/artists/1233-dj-rupture/
265,3431-parts-labor,Parts & Labor,/artists/3431-parts-labor/
266,7725-alexis-taylor,Alexis Taylor,/artists/7725-alexis-taylor/
267,26979-amon-amarth,Amon Amarth,/artists/26979-amon-amarth/
268,5280-handsome-furs,Handsome Furs,/artists/5280-handsome-furs/
269,319-beck,Beck,/artists/319-beck/
270,1048-deerhoof,Deerhoof,/artists/1048-deerhoof/
271,32518-julian-casablancas-the-voidz,The Voidz,/artists/32518-julian-casablancas-the-voidz/
272,34326-the-bug-vs-earth,The Bug Vs Earth,/artists/34326-the-bug-vs-earth/
273,6175-shit-robot,Shit Robot,/artists/6175-shit-robot/
274,33248-chevel,Chevel,/artists/33248-chevel/
275,28251-st-2-lettaz,ST 2 Lettaz,/artists/28251-st-2-lettaz/
276,32293-sturgill-simpson,Sturgill Simpson,/artists/32293-sturgill-simpson/
277,33627-tim-heidecker,Tim Heidecker,/artists/33627-tim-heidecker/
278,5183-paula-frazer-and-tarnation,Paula Frazer and Tarnation,/artists/5183-paula-frazer-and-tarnation/
279,4456-townes-van-zandt,Townes Van Zandt,/artists/4456-townes-van-zandt/
280,620-boris,Boris,/artists/620-boris/
281,33976-czarface,Czarface,/artists/33976-czarface/
282,2751-mf-doom,MF DOOM,/artists/2751-mf-doom/
283,4133-subtitle,Subtitle,/artists/4133-subtitle/
284,27745-the-antlers,The Antlers,/artists/27745-the-antlers/
285,4205-therapy,Therapy?,/artists/4205-therapy/
286,4054-statistics,Statistics,/artists/4054-statistics/
287,1819-jonny-greenwood,Jonny Greenwood,/artists/1819-jonny-greenwood/
288,2892-menomena,Menomena,/artists/2892-menomena/
289,1354-erase-errata,Erase Errata,/artists/1354-erase-errata/
290,3038-phill-niblock,Phill Niblock,/artists/3038-phill-niblock/
291,27878-screaming-females,Screaming Females,/artists/27878-screaming-females/
292,leksi-perala,Aleksi Perälä,/artists/aleksi-perala/
293,29089-regina,Regina,/artists/29089-regina/
294,2684-johnny-marr,Johnny Marr,/artists/2684-johnny-marr/
295,29131-off,OFF!,/artists/29131-off/
296,5816-david-lynch,David Lynch,/artists/5816-david-lynch/
297,33946-angelo-badalamenti,Angelo Badalamenti,/artists/33946-angelo-badalamenti/
298,muzz,Muzz,/artists/muzz/
299,2148-islands,Islands,/artists/2148-islands/
300,2746-metallica,Metallica,/artists/2746-metallica/
301,32145-vince-staples,Vince Staples,/artists/32145-vince-staples/
302,4402--ziq,µ-Ziq,/artists/4402--ziq/
